,rri
3284,656.25
3285,667.96875
3286,675.78125
3287,683.59375
3288,707.03125
3289,718.75
3290,714.84375
3291,703.125
3292,699.21875
3293,703.125
3294,691.40625
3295,687.5
3296,695.3125
3297,718.75
3298,726.5625
3299,726.5625
3300,750.0
3301,765.625
3302,757.8125
3303,753.90625
3304,761.71875
3305,777.34375
3306,761.71875
3307,750.0
3308,753.90625
3309,742.1875
3310,734.375
3311,726.5625
3312,746.09375
3313,757.8125
3314,777.34375
3315,785.15625
3316,781.25
3317,769.53125
3318,761.71875
3319,777.34375
3320,781.25
3321,769.53125
3322,769.53125
3323,789.0625
3324,800.78125
3325,796.875
3326,792.96875
3327,804.6875
3328,781.25
3329,761.71875
3330,765.625
3331,773.4375
3332,769.53125
3333,761.71875
3334,769.53125
3335,792.96875
3336,781.25
3337,777.34375
3338,773.4375
3339,757.8125
3340,746.09375
3341,746.09375
3342,746.09375
3343,746.09375
3344,750.0
3345,753.90625
3346,753.90625
3347,746.09375
3348,761.71875
3349,773.4375
3350,765.625
3351,753.90625
3352,757.8125
3353,777.34375
3354,773.4375
3355,773.4375
3356,789.0625
3357,781.25
3358,761.71875
3359,757.8125
3360,750.0
3361,742.1875
3362,722.65625
3363,714.84375
3364,726.5625
3365,738.28125
3366,742.1875
3367,757.8125
3368,800.78125
3369,804.6875
3370,773.4375
3371,753.90625
3372,753.90625
3373,753.90625
3374,753.90625
3375,765.625
3376,781.25
3377,785.15625
3378,789.0625
3379,828.125
3380,816.40625
3381,785.15625
3382,785.15625
3383,781.25
3384,757.8125
3385,746.09375
3386,746.09375
3387,746.09375
3388,730.46875
3389,726.5625
3390,753.90625
3391,792.96875
3392,792.96875
3393,789.0625
3394,800.78125
3395,785.15625
3396,773.4375
3397,769.53125
3398,761.71875
3399,738.28125
3400,742.1875
3401,753.90625
3402,792.96875
3403,796.875
3404,812.5
3405,808.59375
3406,781.25
3407,765.625
3408,757.8125
3409,753.90625
3410,738.28125
3411,734.375
3412,750.0
3413,765.625
3414,742.1875
3415,750.0
3416,750.0
3417,757.8125
3418,750.0
3419,738.28125
3420,757.8125
3421,753.90625
3422,746.09375
3423,746.09375
3424,773.4375
3425,773.4375
3426,746.09375
3427,734.375
3428,722.65625
3429,707.03125
3430,710.9375
3431,734.375
3432,726.5625
3433,730.46875
3434,746.09375
3435,734.375
3436,722.65625
3437,722.65625
3438,718.75
3439,699.21875
3440,691.40625
3441,710.9375
3442,714.84375
3443,722.65625
3444,765.625
3445,828.125
3446,843.75
3447,808.59375
3448,789.0625
3449,781.25
3450,750.0
3451,734.375
3452,746.09375
3453,753.90625
3454,753.90625
3455,757.8125
3456,765.625
3457,757.8125
3458,753.90625
3459,765.625
3460,765.625
3461,757.8125
3462,753.90625
3463,761.71875
3464,753.90625
3465,761.71875
3466,761.71875
3467,773.4375
3468,757.8125
3469,753.90625
3470,765.625
3471,753.90625
3472,734.375
3473,738.28125
3474,734.375
3475,726.5625
3476,742.1875
3477,765.625
3478,765.625
3479,769.53125
3480,765.625
3481,726.5625
3482,675.78125
3483,664.0625
3484,660.15625
3485,648.4375
3486,640.625
3487,628.90625
3488,628.90625
3489,621.09375
3490,621.09375
3491,625.0
3492,632.8125
3493,636.71875
3494,636.71875
3495,636.71875
3496,632.8125
3497,625.0
3498,621.09375
3499,609.375
3500,605.46875
3501,601.5625
3502,601.5625
3503,597.65625
3504,597.65625
3505,589.84375
3506,582.03125
3507,582.03125
3508,593.75
3509,605.46875
3510,613.28125
3511,617.1875
3512,617.1875
3513,613.28125
3514,617.1875
3515,621.09375
3516,617.1875
3517,621.09375
3518,621.09375
3519,625.0
3520,617.1875
3521,625.0
3522,617.1875
3523,617.1875
3524,625.0
3525,617.1875
3526,632.8125
3527,644.53125
3528,648.4375
3529,660.15625
3530,667.96875
3531,667.96875
3532,648.4375
3533,640.625
3534,632.8125
3535,636.71875
3536,632.8125
3537,632.8125
3538,644.53125
3539,656.25
3540,671.875
3541,671.875
3542,664.0625
3543,660.15625
3544,640.625
3545,644.53125
3546,652.34375
3547,652.34375
3548,656.25
3549,679.6875
3550,699.21875
3551,714.84375
3552,714.84375
3553,718.75
3554,738.28125
3555,730.46875
3556,710.9375
3557,734.375
3558,761.71875
3559,746.09375
3560,753.90625
3561,769.53125
3562,765.625
3563,742.1875
3564,753.90625
3565,769.53125
3566,781.25
3567,753.90625
3568,765.625
3569,796.875
3570,785.15625
3571,769.53125
3572,757.8125
3573,757.8125
3574,730.46875
3575,726.5625
3576,742.1875
3577,761.71875
3578,757.8125
3579,753.90625
3580,769.53125
3581,781.25
3582,765.625
3583,765.625
3584,765.625
3585,761.71875
3586,753.90625
3587,750.0
3588,742.1875
3589,730.46875
3590,726.5625
3591,726.5625
3592,734.375
3593,753.90625
3594,765.625
3595,765.625
3596,753.90625
3597,742.1875
3598,730.46875
3599,726.5625
3600,726.5625
3601,714.84375
3602,703.125
3603,726.5625
3604,726.5625
3605,730.46875
3606,742.1875
3607,746.09375
3608,734.375
3609,730.46875
3610,722.65625
3611,738.28125
3612,757.8125
3613,785.15625
3614,777.34375
3615,804.6875
3616,820.3125
3617,804.6875
3618,781.25
3619,769.53125
3620,753.90625
3621,742.1875
3622,734.375
3623,738.28125
3624,730.46875
3625,746.09375
3626,765.625
3627,777.34375
3628,761.71875
3629,738.28125
3630,726.5625
3631,714.84375
3632,722.65625
3633,730.46875
3634,769.53125
3635,769.53125
3636,773.4375
3637,769.53125
3638,765.625
3639,765.625
3640,750.0
3641,734.375
3642,718.75
3643,714.84375
3644,703.125
3645,695.3125
3646,679.6875
3647,695.3125
3648,703.125
3649,691.40625
3650,679.6875
3651,695.3125
3652,710.9375
3653,726.5625
3654,738.28125
3655,734.375
3656,726.5625
3657,718.75
3658,730.46875
3659,742.1875
3660,734.375
3661,710.9375
3662,707.03125
3663,746.09375
3664,757.8125
3665,734.375
3666,730.46875
3667,714.84375
3668,687.5
3669,691.40625
3670,683.59375
3671,695.3125
3672,703.125
3673,710.9375
3674,710.9375
3675,710.9375
3676,695.3125
3677,707.03125
3678,703.125
3679,707.03125
3680,699.21875
3681,714.84375
3682,738.28125
3683,761.71875
3684,773.4375
3685,781.25
3686,789.0625
3687,765.625
3688,750.0
3689,742.1875
3690,738.28125
3691,734.375
3692,753.90625
3693,757.8125
3694,757.8125
